rank,tripid,cityname_corrected,origin,dest,trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,rush_vs_freeflow_pct,p90_rush_hour,p90_vs_freeflow
876,304059780,St. Catharines-Niagara,"43.192844,-79.208206","43.123722,-79.23533",10.4,11.42,12.98,1.55,13.6,13.31,1.886764705882353
877,303906431,London,"43.02491,-81.183685","43.04022,-81.26986",12.4,15.89,17.44,1.55,9.77,18.03,2.1450980392156858
878,53818791,Saskatoon,"52.1277,-106.666046","52.12289,-106.72621",11.1,9.94,11.49,1.55,15.61,11.74,1.8044444444444423
879,13261721,Windsor,"42.30949,-82.88382","42.28486,-83.00261",12.3,9.83,11.38,1.55,15.75,12.17,2.332291666666668
880,101539590,Kitchener-Cambrigde-Waterloo,"43.426426,-80.51146","43.382774,-80.4246",10.7,13.4,14.94,1.54,11.47,15.75,2.34537037037037
881,303878590,Kitchener-Cambrigde-Waterloo,"43.487732,-80.48846","43.4172,-80.4912",14.3,14.54,16.08,1.54,10.61,16.73,2.197368421052632
882,303805290,Calgary,"51.06723,-114.05169","51.01132,-114.01083",10.7,11.56,13.08,1.52,13.18,13.98,2.42
883,101537731,Kitchener-Cambrigde-Waterloo,"43.482002,-80.530685","43.425926,-80.50185",15.9,13.4,14.91,1.51,11.29,16.05,2.648888888888889
884,303966441,Oshawa,"43.886692,-78.805145","43.89213,-78.91123",11.8,12.29,13.8,1.51,12.33,14.44,2.151250000000001
885,303947801,Montreal,"45.712585,-73.65393","45.65502,-73.57737",14.8,16.2,17.71,1.51,9.31,17.98,1.7851851851851848
886,303927491,Montreal,"45.584663,-73.57703","45.63126,-73.614105",12.3,10.88,12.4,1.51,13.91,13.0,2.1180555555555554
887,13242201,Kitchener-Cambrigde-Waterloo,"43.51413,-80.5015","43.42518,-80.52073",18.9,15.74,17.25,1.51,9.59,17.75,2.0093750000000004
888,201364881,Toronto,"43.712738,-79.58552","43.778214,-79.51891",17.4,15.07,16.58,1.51,10.01,17.72,2.6481249999999985
