rank,tripid,cityname_corrected,origin,dest,trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,rush_vs_freeflow_pct,p90_rush_hour,p90_vs_freeflow
1085,12319651,Kitchener-Cambrigde-Waterloo,"43.459328,-80.4785","43.426178,-80.518326",10.2,8.41,9.33,0.92,10.91,9.67,1.2537037037037049
1086,304044321,Saskatoon,"52.156185,-106.643814","52.11256,-106.57206",11.0,11.72,12.63,0.91,7.78,13.38,1.6676470588235297
1087,303845160,Halifax,"44.661503,-63.617577","44.66541,-63.529686",11.8,11.51,12.41,0.89,7.76,12.87,1.3562745098039226
1088,101533671,Kitchener-Cambrigde-Waterloo,"43.46257,-80.47541","43.42792,-80.516266",10.8,9.28,10.16,0.88,9.5,10.69,1.4107575757575752
1089,101537300,Kitchener-Cambrigde-Waterloo,"43.42518,-80.49841","43.48076,-80.513176",14.0,12.1,12.98,0.88,7.31,13.79,1.6911111111111108
1090,13241521,Kitchener-Cambrigde-Waterloo,"43.515873,-80.50288","43.425426,-80.511116",18.7,15.85,16.72,0.87,5.49,17.45,1.6037037037037027
1091,13241981,Kitchener-Cambrigde-Waterloo,"43.514378,-80.50013","43.425426,-80.511116",19.1,16.91,17.78,0.87,5.13,18.14,1.226754385964913
1092,304190971,Windsor,"42.247257,-82.96244","42.273937,-83.046555",12.2,9.95,10.81,0.86,8.62,11.02,1.0742063492063476
1093,304046811,St. Catharines-Niagara,"43.137,-79.18074","43.186337,-79.23224",11.1,14.31,15.17,0.86,5.98,16.11,1.7922222222222217
1094,101600281,St. Catharines-Niagara,"43.09991,-79.20237","43.159294,-79.239105",14.0,12.17,13.02,0.86,7.04,13.48,1.3166666666666647
1095,303883890,Kitchener-Cambrigde-Waterloo,"43.432907,-80.466484","43.476025,-80.5015",10.2,8.86,9.7,0.85,9.57,9.95,1.094444444444445
1096,101536941,Kitchener-Cambrigde-Waterloo,"43.46631,-80.50013","43.42842,-80.50562",12.0,10.55,11.4,0.85,8.05,11.99,1.4405555555555551
1097,303842500,Halifax,"44.661015,-63.588737","44.685184,-63.515266",13.7,14.07,14.9,0.83,5.93,15.19,1.1208333333333336
1098,303940770,Montreal,"45.625256,-73.80087","45.544044,-73.871254",17.4,18.35,19.18,0.83,4.54,19.56,1.209019607843139
1099,101533010,Kitchener-Cambrigde-Waterloo,"43.42792,-80.515236","43.46232,-80.47781",12.4,11.02,11.86,0.83,7.56,12.44,1.4135185185185186
1100,303854101,Halifax,"44.641964,-63.54239","44.689823,-63.48265",10.6,13.59,14.39,0.79,5.84,14.95,1.3579365079365076
1101,101538031,Kitchener-Cambrigde-Waterloo,"43.48325,-80.48537","43.42069,-80.51043",13.1,9.06,9.85,0.79,8.75,10.3,1.2390909090909084
1102,303867320,Hamilton,"43.229126,-79.6868","43.232628,-79.6971",10.4,8.47,9.26,0.79,9.31,9.64,1.167156862745097
1103,304194730,Winnipeg,"49.793392,-97.167076","49.83615,-97.08262",11.6,14.9,15.68,0.78,5.23,16.11,1.2164583333333336
1104,304040430,Saskatoon,"52.12795,-106.67265","52.108345,-106.57172",14.1,12.68,13.45,0.77,6.07,13.98,1.2992156862745095
1105,303787510,Calgary,"50.910984,-113.97547","50.952312,-114.10216",20.8,14.55,15.31,0.76,5.22,15.88,1.3229629629629631
1106,12333800,St. Catharines-Niagara,"43.164803,-79.248375","43.167057,-79.18864",11.3,9.24,10.0,0.76,8.22,10.54,1.2984848484848488
1107,303865880,Hamilton,"43.247883,-79.76061","43.239132,-79.769196",13.8,10.99,11.74,0.75,6.87,12.03,1.0411111111111104
1108,303840980,Halifax,"44.680305,-63.56539","44.653446,-63.61586",10.3,12.35,13.08,0.73,5.89,13.45,1.0964912280701746
1109,101534411,Kitchener-Cambrigde-Waterloo,"43.4683,-80.473694","43.42393,-80.51043",10.5,7.88,8.61,0.73,9.26,9.0,1.124761904761904
1110,101537121,Kitchener-Cambrigde-Waterloo,"43.510895,-80.49704","43.423683,-80.52382",18.5,17.23,17.96,0.73,4.26,18.88,1.6574999999999989
1111,304063671,Toronto,"43.774,-79.548096","43.82009,-79.47394",12.7,9.76,10.48,0.72,7.34,10.91,1.1431249999999995
1112,431105510,St. Catharines-Niagara,"43.213116,-79.23464","43.158447,-79.17429",10.3,13.78,14.5,0.72,5.25,14.76,0.9872463768115942
1113,303842991,Halifax,"44.664677,-63.528656","44.657352,-63.613113",12.8,14.31,15.02,0.71,4.98,15.96,1.6519298245614014
1114,303848351,Halifax,"44.64856,-63.54548","44.66419,-63.61071",14.4,12.47,13.19,0.71,5.71,13.56,1.0846491228070185
1115,303798721,Calgary,"50.90254,-113.99573","50.90622,-114.09529",10.5,9.89,10.55,0.66,6.68,10.81,0.9205263157894716
1116,304048431,St. Catharines-Niagara,"43.193592,-79.26142","43.139004,-79.18795",14.0,14.33,14.99,0.66,4.6,15.75,1.4219607843137272
1117,201318381,Montreal,"45.626457,-73.638824","45.63006,-73.540634",12.6,11.33,11.97,0.64,5.65,12.24,0.9130864197530872
1118,303891371,Kitchener-Cambrigde-Waterloo,"43.42967,-80.46614","43.44687,-80.565704",13.1,13.55,14.19,0.64,4.74,14.72,1.1702898550724647
1119,304012291,Quebec,"46.768257,-71.25548","46.7485,-71.363625",18.8,19.41,20.03,0.62,3.19,21.14,1.7355263157894711
1120,13242241,Kitchener-Cambrigde-Waterloo,"43.50915,-80.54957","43.424183,-80.50871",20.0,15.32,15.92,0.61,3.95,16.21,0.8887254901960802
1121,304059700,St. Catharines-Niagara,"43.171062,-79.28477","43.112442,-79.2264",13.6,10.97,11.58,0.61,5.56,11.88,0.901315789473685
1122,101603750,St. Catharines-Niagara,"43.15654,-79.23773","43.127228,-79.16735",12.7,11.77,12.39,0.61,5.22,12.67,0.8950980392156858
1123,303853480,Halifax,"44.65833,-63.603157","44.672005,-63.512177",14.2,14.78,15.39,0.61,4.13,15.72,0.9322916666666661
1124,101535421,Kitchener-Cambrigde-Waterloo,"43.477768,-80.49876","43.423683,-80.508026",14.0,13.03,13.61,0.58,4.45,14.32,1.2868421052631582
1125,303888731,Kitchener-Cambrigde-Waterloo,"43.430912,-80.54854","43.46207,-80.48056",16.5,13.14,13.71,0.57,4.37,14.0,0.8670588235294119
1126,201369831,Toronto,"43.522346,-79.71358","43.64967,-79.7613",22.3,15.73,16.29,0.56,3.59,16.9,1.1746376811594192
1127,303888610,Kitchener-Cambrigde-Waterloo,"43.429916,-80.47026","43.43939,-80.56605",11.8,11.41,11.97,0.56,4.93,12.54,1.1348765432098755
1128,304202860,Winnipeg,"49.84855,-97.05927","49.89369,-96.99988",11.6,14.47,15.01,0.54,3.76,15.5,1.030724637681157
1129,303962300,Montreal,"45.740627,-73.60312","45.71858,-73.68758",12.8,11.94,12.43,0.49,4.12,12.76,0.822058823529412
1130,431060931,Kitchener-Cambrigde-Waterloo,"43.448948,-80.445724","43.427174,-80.43593",12.2,10.77,11.22,0.45,4.17,11.63,0.8624561403508775
1131,303871271,Hamilton,"43.228374,-79.88661","43.225372,-79.80044",14.5,15.07,15.5,0.43,2.86,15.99,0.9258771929824565
1132,303855050,Halifax,"44.684208,-63.59217","44.658573,-63.526253",10.6,12.03,12.44,0.41,3.44,12.82,0.7936842105263153
1133,101537821,Kitchener-Cambrigde-Waterloo,"43.42044,-80.55472","43.42094,-80.510086",10.4,9.44,9.75,0.32,3.34,10.07,0.632037037037037
1134,101606811,St. Catharines-Niagara,"43.10768,-79.20752","43.166306,-79.249405",12.0,11.34,11.61,0.27,2.36,11.83,0.4934782608695638
1135,303948031,Montreal,"45.504116,-73.46613","45.507965,-73.42871",14.0,12.01,12.2,0.2,1.63,12.47,0.46430555555555664
